pat_no,app_no,pat_claim,app_claim
9048985,20140341317,"1. A transmission method comprising: an encoding step of generating an encoded block using a predetermined error correction block encoding method;  a generation step of generating a first transmission signal z1 and a second transmission signal z2 by performing, for each of a plurality of slots, a precoding process on a first modulated signal s1 and a second modulated signal s2 that have been generated from the encoded block;  and a transmission step of transmitting the first transmission signal z1 and the second transmission signal z2 from a first antenna and a second antenna, respectively, in the same frequency at the same time, wherein the generation step further selects one matrix from among N matrices F[i], where i is an integer no less than 0 and no more than N-1, and N is an integer 3 or greater, by hopping between the matrices over each of the plurality of slots, the N matrices F[i] each defining the precoding process, and generates the transmission signal z1 and the transmission signal z2 by performing, for each of the plurality of slots, a precoding process corresponding to the selected matrix F[i] on the first modulated signal s1 and the second modulated signal s2, the first transmission signal z1 and the second transmission signal z2 satisfy (z1, z2).sup.T=F[i](s1, s2).sup.T, (z1, z2).sup.T being a transposed vector of (z1, z2), and (s1, s2).sup.T being a transposed vector of (s1, s2), the N matrices F[i] satisfy .function..alpha..times.e.theta..function..alpha..times.e.function..theta- ..function..lamda..alpha..times.e.theta..function.e.function..theta..funct- ion..lamda..pi.  ##EQU00219## where .lamda.  represents an arbitrary angle, and .alpha.  represents a positive real number excluding 1, .theta..sub.11(i) and .theta..sub.21(i) satisfy e.sup.j(.theta..sup.11.sup.(x)-.theta..sup.21.sup.(x)).noteq.e.sup.j(.the- ta..sup.11.sup.(y)-.theta..sup.21.sup.(y)) for .A-inverted.x,.A-inverted.y (x.noteq.y;x,y=0,1,2, .  . . ,N-2,N-1), and the generation step performs the generation corresponding to the encoded block by selecting each of the N matrices F[i] the same number of times.",
9048985,20140341317,"2. The transmission method of claim 1, wherein .theta..sub.11(i) and .theta..sub.21(i) of the N matrices F[i] further satisfy either e.function..theta..function..theta..function.e.function..theta..function.- .theta..function.e.function..times..pi..times..times..times..times..A-inve- rted..function..times.  ##EQU00220## ##EQU00220.2## e.function..theta..function..theta..function.e.function..theta..function.- .theta..function.e.function..times..pi..times..times..times..times..A-inve- rted..function..times.  ##EQU00220.3## ",
9048985,20140341317,"3. A transmission apparatus comprising: an encoding unit configured to generate an encoded block using a predetermined error correction block encoding method;  a generation unit configured to generate a first transmission signal z1 and a second transmission signal z2 by performing, for each of a plurality of slots, a precoding process on a first modulated signal s1 and a second modulated signal s2 that have been generated from the encoded block;  and a transmission unit configured to transmit the first transmission signal z1 and the second transmission signal z2 from a first antenna and a second antenna, respectively, in the same frequency at the same time, wherein the generation unit is further configured to select one matrix from among N matrices F[i], where i is an integer no less than 0 and no more than N-1, and N is an integer 3 or greater, by hopping between the matrices over each of the plurality of slots, the N matrices F[i] each defining the precoding process, and generates the transmission signal z1 and the transmission signal z2 by performing, for each of the plurality of slots, a precoding process corresponding to the selected matrix F[i] on the first modulated signal s1 and the second modulated signal s2, the first transmission signal z1 and the second transmission signal z2 satisfy (z1, z2).sup.T=F[i](s1, s2).sup.T, (z1, z2).sup.T being a transposed vector of (z1, z2), and (s1, s2).sup.T being a transposed vector of (s1, s2), the N matrices F[i] satisfy .function..alpha..times.e.theta..function..alpha..times.e.functio- n..theta..function..lamda..alpha..times.e.theta..function.e.function..thet- a..function..lamda..pi.  ##EQU00221## where .lamda.  represents an arbitrary angle, and .alpha.  represents a positive real number excluding 1, .theta..sub.11(i) and .theta..sub.21(i) satisfy e.sup.j(.theta..sup.11.sup.(x)-.theta..sup.21.sup.(x)).noteq.e.sup.j(.the- ta..sup.11.sup.(y)-.theta..sup.21.sup.(y)) for .A-inverted.x,.A-inverted.y (x.noteq.y;x,y=0,1,2, .  . . ,N-2,N-1), and the generation unit performs the generation corresponding to the encoded block by selecting each of the N matrices F[i] the same number of times.",
9048985,20140341317,"4. The transmission apparatus of claim 3, wherein .theta..sub.11(i) and .theta..sub.21(i) of the N matrices F[i] further satisfy either e.function..theta..function..theta..function.e.function..theta..function.- .theta..function.e.function..times..pi..times..times..times..times..A-inve- rted..function..times.  ##EQU00222## ##EQU00222.2## e.function..theta..function..theta..function.e.function..theta..function.- .theta..function.e.function..times..pi..times..times..times..times..A-inve- rted..function..times.  ##EQU00222.3## ",
9048985,20140341317,"5. A reception method comprising: an acquisition step of acquiring a reception signal obtained by receiving a first transmission signal z1 and a second transmission signal z2 transmitted from a first antenna and a second antenna, respectively, in the same frequency at the same time, the first transmission signal z1 and the second transmission signal z2 having been generated as a result of a predetermined generation process performed on a first modulated signal s1 and a second modulated signal s2, the first modulated signal s1 and the second modulated signal s2 having been generated from an encoded block generated with use of a predetermined error correction block encoding method;  and a demodulation step of performing a demodulation process on the acquired reception signal, the demodulation process corresponding to the predetermined generation process, wherein the predetermined generation process includes: selecting one matrix from among N matrices F[i], where i is an integer no less than 0 and no more than N-1, and N is an integer 3 or greater, by hopping between the matrices over each of the plurality of slots, the N matrices F[i] defining a precoding process that is performed on a plurality of modulated signals, and generating the transmission signal z1 and the transmission signal z2 by performing, for each of the plurality of slots, a precoding process corresponding to the selected matrix F[i] on the first modulated signal s1 and the second modulated signal s2, the first transmission signal z1 and the second transmission signal z2 satisfy (z1, z2).sup.T=F[i](s1, s2).sup.T, (z1, z2).sup.T being a transposed vector of (z1, z2), and (s1, s2).sup.T being a transposed vector of (s1, s2), the N matrices F[i] satisfy .function..alpha..times.e.theta..function..alpha..times.e.function..theta- ..function..lamda..alpha..times.e.theta..function.e.function..theta..funct- ion..lamda..pi.  ##EQU00223## where .lamda.  represents an arbitrary angle, and .alpha.  represents a positive real number excluding 1, .theta..sub.11(i) and .theta..sub.21(i) satisfy e.sup.j(.theta..sup.11.sup.(x)-.theta..sup.21.sup.(x)).noteq.e.sup.j(.the- ta..sup.11.sup.(y)-.theta..sup.21.sup.(y)) for .A-inverted.x,.A-inverted.y (x.noteq.y;x,y=0,1,2, .  . . ,N-2,N-1), and in the predetermined generation process corresponding to the encoded block, each of the N matrices F[i] is selected the same number of times.",
9048985,20140341317,"6. The reception method of claim 5, wherein .theta..sub.11(i) and .theta..sub.21(i) of the N matrices F[i] further satisfy either e.function..theta..function..theta..function.e.function..theta..function.- .theta..function.e.function..times..pi..times..times..times..times..A-inve- rted..function..times.  ##EQU00224## ##EQU00224.2## e.function..theta..function..theta..function.e.function..theta..function.- .theta..function.e.function..times..pi..times..times..times..times..A-inve- rted..function..times.  ##EQU00224.3## ",
9048985,20140341317,"7. A reception apparatus comprising: an acquisition unit configured to acquire a reception signal obtained by receiving a first transmission signal z1 and a second transmission signal z2 transmitted from a first antenna and a second antenna, respectively, in the same frequency at the same time, the first transmission signal z1 and the second transmission signal z2 having been generated as a result of a predetermined generation process performed on a first modulated signal s1 and a second modulated signal s2, the first modulated signal s1 and the second modulated signal s2 having been generated from an encoded block generated with use of a predetermined error correction block encoding method;  and a demodulation unit configured to perform a demodulation process on the acquired reception signal, the demodulation process corresponding to the predetermined generation process, wherein the predetermined generation process includes: selecting one matrix from among N matrices F[i], where i is an integer no less than 0 and no more than N-1, and N is an integer 3 or greater, by hopping between the matrices over each of the plurality of slots, the N matrices F[i] defining a precoding process that is performed on a plurality of modulated signals, and generating the transmission signal z1 and the transmission signal z2 by performing, for each of the plurality of slots, a precoding process corresponding to the selected matrix F[i] on the first modulated signal s1 and the second modulated signal s2, the first transmission signal z1 and the second transmission signal z2 satisfy (z1, z2).sup.T=F[i](s1, s2).sup.T, (z1, z2).sup.T being a transposed vector of (z1, z2), and (s1, s2).sup.T being a transposed vector of (s1, s2), the N matrices F[i] satisfy .function..alpha..times.e.theta..function..alpha..times.e.function..theta- ..function..lamda..alpha..times.e.theta..function.e.function..theta..funct- ion..lamda..pi.  ##EQU00225## where .lamda.  represents an arbitrary angle, and .alpha.  represents a positive real number excluding 1, .theta..sub.11(i) and .theta..sub.21(i) satisfy e.sup.j(.theta..sup.11.sup.(x)-.theta..sup.21.sup.(x)).noteq.e.sup.j(.the- ta..sup.11.sup.(y)-.theta..sup.21.sup.(y)) for .A-inverted.x,.A-inverted.y (x.noteq.y;x,y=0,1,2, .  . . ,N-2,N-1), and in the predetermined generation process corresponding to the encoded block, each of the N matrices F[i] is selected the same number of times.",
9048985,20140341317,"8. The reception apparatus of claim 7, wherein .theta..sub.11(i) and .theta..sub.21(i) of the N matrices F[i] further satisfy either e.function..theta..function..theta..function.e.function..theta..function.- .theta..function.e.function..times..pi..times..times..times..times..A-inve- rted..function..times.  ##EQU00226## ##EQU00226.2## e.function..theta..function..theta..function.e.function..theta..function.- .theta..function.e.function..times..pi..times..times..times..times..A-inve- rted..function..times.  ##EQU00226.3##",
9048985,20140341317,,"1. A transmission method comprising: an encoding step of generating an encoded block using a predetermined error correction block encoding method; a generation step of generating a first transmission signal z1 and a second transmission signal z2 by performing, for each of a plurality of slots, a precoding process on a first modulated signal s1 and a second modulated signal s2 that have been generated from the encoded block; and a transmission step of transmitting the first transmission signal z1 and the second transmission signal z2 from a first antenna and a second antenna, respectively, in the same frequency at the same time, wherein the generation step further selects one matrix from among N matrices F[i], where i is an integer no less than 0 and no more than N-1, and N is an integer 3 or greater, by hopping between the matrices over each of the plurality of slots, the N matrices F[i] each defining the precoding process, and generates the transmission signal z1 and the transmission signal z2 by performing, for each of the plurality of slots, a precoding process corresponding to the selected matrix F[i] on the first modulated signal s1 and the second modulated signal s2, the first transmission signal z1 and the second transmission signal z2 satisfy (z1, z2).sup.T=F[i](s1, 52).sup.T, the N matrices F[i] satisfy F    [ i ]   =   1    .alpha. 2  + 1  (    j.theta. 11     ( i )  .alpha. .times.     j    (    .theta. 11     ( i )   + .lamda.  )     .alpha. .times. j.theta. 21     ( i )      j    ( .theta. 21     ( i )   + .lamda. + .pi.  )  )   ##EQU00219##  where .lamda. represents an arbitrary angle, and .alpha. represents a positive real number excluding 1, .theta..sub.11(i) and .theta..sub.21(i) satisfy e.sup.j(.theta..sup.11.sup.(x)-.theta..sup.21.sup.(x)).noteq.e.sup.j(.the-     ta..sup.11.sup.(y)-.theta..sup.21.sup.(y)) for .A-inverted.x, .A-inverted.y (x.noteq.y;x,y=0, 1, 2, . . . , N-2, N-1), and the generation step performs the generation corresponding to the encoded block by selecting each of the N matrices F[i] the same number of times."
9048985,20140341317,,"2. The transmission method of claim 1, wherein .theta..sub.11(i) and .theta..sub.21(i) of the N matrices F[i] further satisfy either   j   (    .theta. 11     (  x + 1  )   -   .theta. 21     (  x + 1  )    )      j    (    .theta. 11     ( x )   -   .theta. 21     ( x )    )     =      j    (   2   .pi.  N  )      for    .A-inverted.  x    ( x = 0  , 1 , 2 ,  ,  N - 2   ) ##EQU00220##  or ##EQU00220.2##  j    (    .theta. 11     (  x + 1  )   -   .theta. 21     (  x + 1 )    )   j    (    .theta. 11     ( x )   -   .theta. 21     ( x )  )     = j    (  -   2   .pi.  N   )      for .A-inverted.   x    (   x = 0  , 1 , 2 ,  ,  N - 2   )   .     ##EQU00220.3## "
